WADMKC,_mean
Bandung Kidul,-0.142476174906073
Cinambo,-0.166354336317831
Astana Anyar,-0.033548071284584
Antapani,-0.086132985625744
Cibeunying Kaler,-0.148182812977212
Sukajadi,-0.098871909211073
Cidadap,-0.267264471000218
Kiaracondong,-0.098575859038496
Gedebage,-0.202284568021678
Arcamanik,-0.149359198608001
Lengkong,-0.077552913642201
Sumur Bandung,-0.086509299695620
Ujungberung,-0.193136315664633
Bojongloa Kidul,-0.085207002105295
Babakan Ciparay,-0.069415839053605
Sukasari,-0.159721268316441
Cibeunying Kidul,-0.069662664804590
Bandung Wetan,-0.122871372995793
Buahbatu,-0.121570051792765
Batununggal,-0.070169520046438
Bojongloa Kaler,-0.023842121675154
Panyileukan,-0.165948161004989
Mandalajati,-0.169796924847793
Cicendo,-0.112118053246097
Andir,-0.052335315458315
Coblong,-0.146281004499719
Regol,-0.079972499640217
Cibiru,-0.219754645601001
Bandung Kulon,-0.073710905324079
Rancasari,-0.155338052213150
