no,kecamatan,id_kecamatan,bu
1,bandung_kidul,32.73.21,-0.144463942
2,cinambo,32.73.29,-0.170700396
3,astanaanyar,32.73.10,-0.038377848
4,antapani,32.73.20,-0.092451863
5,cibeunying_kidul,32.73.14,-0.152714275
6,sukajadi,32.73.07,-0.103752731
7,cicadap,32.73.08,-0.274344848
8,kiaracondong,32.73.16,-0.103724829
9,gedebage,32.73.27,-0.220642116
10,arcamanik,32.73.24,-0.162312763
11,lengkong,32.73.13,-0.082589841
12,sumur_bandung,32.73.19,-0.089547668
13,ujungberung,32.73.26,-0.193664814
14,bojongloa_kaler,32.73.04,-0.084149127
15,babakan_ciparay,32.73.03,-0.069671037
16,sukasari,32.73.01,-0.15771044
17,cibeunying_kaler,32.73.18,-0.0754413
18,bandung_wetan,32.73.09,-0.121493834
19,buahbatu,32.73.22,-0.116437426
20,batununggal,32.73.12,-0.084349695
21,bojongloa_kidul,32.73.17,-0.028690984
22,panyileukan,32.73.28,-0.169403777
23,mandalajati,32.73.30,-0.191605219
24,cicendo,32.73.06,-0.122999366
25,andir,32.73.05,-0.059556794
26,coblong,32.73.02,-0.146792915
27,regol,32.73.11,-0.081987007
28,cibiru,32.73.25,-0.238795215
29,bandung_kulon,32.73.15,-0.075618067
30,rancasari,32.73.23,-0.145648348
